Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C4",0805,2,1u,C28323
"C10, C25, C8",0402,3,1u,C52923
"C11, C12, C13, C14, C15, C16, C17, C18, C19, C20, C21, C22, C23, C24, C5, C6, C7, C9",0201,18,100n,C1525
"C2, C3",0402,2,27p,C1557
D1,0603,1,LED,C510027
D2,0603,1,LED,C2922668
D3,0603,1,LED,C2925173
"D4, D5",D_SOD-323,2,NSR0320MW2T1G,C48192
J1,USB_C_Receptacle_G-Switch_GT-USB-7051x,1,USB_C_Receptacle_USB2.0,C2843970
J5,PinHeader_1x05_P1.00mm_Vertical,1,Conn_01x05_Pin,
"R1, R10, R2, R5, R8, R9",0201,6,1k,C270335
R11,0201,1,100k,C270364
"R3, R4",0201,2,27,C273268
"R6, R7",0201,2,5.1k,C473460
U1,SOT-23-5,1,AP2112K-3.3,C51118
U10,DHVQFN24_L5.5-W3.5-P0.50-BL-EP,1,74LVCH8T245,C458263
U2,Winbond_USON-8-1EP_3x2mm_P0.5mm_EP0.2x1.6mm,1,W25Q16JVUXIQ,C2843335
U3,RP2040-QFN-56,1,RP2040,C2040
"U4, U5, U9",V-QFN4525-20_L4.5-W2.5-P0.50-BL,3,74LVCH245,C548916
U7,X2QFN-8_L1.5-W1.5-P0.50-BL,1,TCA5405RUGR,C2674123
U8,SOT-23-5,1,74AHCT1G126,C163712
Y1,Crystal_SMD_5032-2Pin_5.0x3.2mm,1,445C25D12M00000,C148313
