Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1u,C_0805_2012Metric,-46.306,49.25,-90.0,top
C2,27p,C_0402_1005Metric,-45.185,20.76,180.0,top
C3,27p,C_0402_1005Metric,-41.475,20.76,0.0,top
C4,1u,C_0805_2012Metric,-39.956,49.25,-90.0,top
C5,100n,C_0402_1005Metric,-43.505,39.4,-90.0,top
C6,100n,C_0402_1005Metric,-42.355,22.26,-45.0,top
C7,100n,C_0402_1005Metric,-38.275,32.34,45.0,top
C8,1u,C_0402_1005Metric,-35.775,29.54,0.0,top
C9,100n,C_0402_1005Metric,-35.375,27.1,-45.0,top
C10,1u,C_0402_1005Metric,-34.915,28.62,0.0,top
C11,100n,C_0402_1005Metric,-36.035,26.45,-45.0,top
C12,100n,C_0402_1005Metric,-39.695,22.69,-90.0,top
C13,100n,C_0402_1005Metric,-43.665,23.58,-45.0,top
C14,100n,C_0402_1005Metric,-36.775,31.8,0.0,top
C15,100n,C_0402_1005Metric,-37.215,30.87,0.0,top
C16,100n,C_0402_1005Metric,-43.445,33.37,180.0,top
C17,100n,C_0402_1005Metric,-45.655,31.19,90.0,top
C18,100n,C_0402_1005Metric,-35.175,22.57,90.0,top
C19,100n,C_0402_1005Metric,-45.385,42.57,180.0,bottom
C20,100n,C_0402_1005Metric,-38.185,44.22,90.0,bottom
C21,100n,C_0402_1005Metric,-38.415,22.21,0.0,bottom
C22,100n,C_0402_1005Metric,-35.925,40.31,0.0,bottom
D1,LED,LED_0603_1608Metric,-45.305,39.4,90.0,top
D2,LED,LED_0603_1608Metric,-34.505,52.9,90.0,top
D3,LED,LED_0603_1608Metric,-46.505,52.9,90.0,top
J1,USB_C_Receptacle_USB2.0,USB_C_Receptacle_G-Switch_GT-USB-7051x,-40.59,54.6,180.0,top
R1,1k,C_0402_1005Metric,-43.525,35.74,90.0,top
R2,1k,C_0402_1005Metric,-46.505,55.4,90.0,bottom
R3,27,C_0402_1005Metric,-35.395,32.27,-90.0,top
R4,27,C_0402_1005Metric,-34.475,32.28,-90.0,top
R5,1k,C_0402_1005Metric,-43.305,20.77,0.0,top
R6,5.1k,C_0402_1005Metric,-36.405,56.4,270.0,bottom
R7,5.1k,C_0402_1005Metric,-44.605,52.68,90.0,bottom
R8,1k,C_0402_1005Metric,-36.205,46.5,180.0,top
R9,1k,C_0402_1005Metric,-43.505,41.9,90.0,top
R10,1k,C_0402_1005Metric,-34.505,55.4,90.0,bottom
U1,AP2112K-3.3,SOT-23-5,-43.145,49.25,0.0,top
U2,W25Q16JVSNIQ,SOIC-8_3.9x4.9mm_P1.27mm,-40.325,37.71,90.0,top
U3,RP2040,RP2040-QFN-56,-41.576063,28.028122,-45.0,top
U4,74VHCT245,DHVQFN-20-1EP_2.5x4.5mm_P0.5mm_EP1x3mm,-37.455,19.7125,-90.0,top
U5,74LVC827,TSSOP-24_4.4x7.8mm_P0.65mm,-42.535,37.88,0.0,bottom
U6,74LVC827,TSSOP-24_4.4x7.8mm_P0.65mm,-42.515,47.25,180.0,bottom
U7,TCA5405RUGR,RUG8,-37.315,24.255,180.0,bottom
U8,74AHCT1G126,SOT-353_SC-70-5,-36.335,37.48,90.0,bottom
Y1,445C25D12M00000,Crystal_SMD_5032-2Pin_5.0x3.2mm,-43.405,18.4,0.0,top
